Rank,Movie,ReleaseDate,Distributor,Genre,2022 Gross,Tickets Sold
144,Official Competition,"Jun 17, 2022",IFC Films,Comedy,"$593,926","64,768"
145,TÃR,"Oct 7, 2022",Focus Features,Drama,"$584,846","63,778"
146,Cuando Sea Joven,"Sep 23, 2022",Pantelion Films,Comedy,"$549,916","59,969"
147,Runway 34,"Apr 29, 2022",Yash Raj Films,Thriller/Suspense,"$549,624","59,937"
148,"Confess, Fletch","Sep 16, 2022",Paramount Pictures,Comedy,"$538,842","58,761"
149,Godâs Country,"Sep 16, 2022",IFC Films,Drama,"$492,903","53,751"
150,Deep in the Heart: A Texas …,"Jun 3, 2022",Fin and Fur Films,Documentary,"$480,240","52,370"
151,Brian and Charles,"Jun 17, 2022",Focus Features,Comedy,"$430,635","46,961"
152,Beast,"Apr 15, 2022",United Artists,Action,"$430,000","46,892"
153,Emergency Declaration,"Aug 12, 2022",Well Go USA,Thriller/Suspense,"$412,196","44,950"
154,Facing Nolan,"May 24, 2022",Utopia,Documentary,"$405,797","44,252"
155,King Richard,"Nov 19, 2021",Warner Bros.,Drama,"$399,007","43,512"
156,Superspreader,"Sep 29, 2022",Iconic Releasing,Documentary,"$398,300","43,435"
157,Tysonâs Run,"Mar 11, 2022",Collide Distribution,Drama,"$391,167","42,657"
158,Alice,"Mar 18, 2022",Roadside Attractions,Thriller/Suspense,"$373,037","40,680"
159,Selena,"Mar 21, 1997",Warner Bros.,Drama,"$360,000","39,258"
160,Inu-Oh,"Aug 12, 2022",GKIDS,Musical,"$351,558","38,337"
161,The Forgiven,"Jul 1, 2022",Roadside Attractions,Drama,"$340,222","37,101"
162,Red Rocket,"Dec 10, 2021",A24,Drama,"$330,406","36,031"
163,Mad God,"Jun 10, 2022",Shudder,Horror,"$322,619","35,182"
164,Clean,"Jan 28, 2022",IFC Films,Thriller/Suspense,"$318,877","34,773"
165,Waterman,"Apr 1, 2022",Purdie Distribution,Documentary,"$316,848","34,552"
